county,Housing gap,Total ELI renters,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),Number of HUD asst units,AAA units,AAA units (asst off)
4003,2538,3868,3081,34,20,543,1330,787
4005,3209,4646,3650,31,21,441,1437,996
4007,862,1675,914,49,45,52,813,761
4009,363,706,394,49,44,31,342,311
4011,106,207,106,49,49,,100,100
4012,217,405,217,46,46,,188,188
4013,108549,126433,121968,14,4,13419,17884,4465
4015,3268,6099,3498,46,43,230,2831,2601
4017,1064,2669,1163,60,56,99,1605,1506
4019,34478,41439,39720,17,4,5242,6961,1719
4021,4381,7112,4897,38,31,516,2731,2215
4023,900,1372,1185,34,14,285,472,187
4025,5152,5469,5442,6,0,290,317,27
4027,4173,5918,5196,29,12,1023,1745,722
5001,526,696,810,24,0,284,170,0
5003,463,708,617,35,13,154,246,92
5005,628,1038,784,39,24,156,409,253
5007,6308,7555,6820,17,10,512,1247,735
5009,477,788,838,39,0,361,311,0
5011,287,440,412,35,6,125,153,28
5013,47,68,59,31,13,12,21,9
5015,402,664,492,39,26,90,262,172
5017,419,642,532,35,17,113,223,110
5019,743,888,1006,16,0,263,145,0
5021,259,382,365,32,4,106,122,16
5023,207,488,291,58,40,84,280,196
5025,105,160,127,35,21,22,56,34
5027,503,724,677,31,7,174,221,47
5029,130,263,326,51,0,196,133,0
5031,2532,3785,3692,33,2,1160,1253,93
5033,1041,1503,1432,31,5,391,461,70
5035,1351,2491,2229,46,10,878,1139,261
5037,380,628,597,39,5,217,248,31
5039,183,264,252,31,4,69,81,12
5041,558,854,865,35,0,307,296,0
5043,744,1139,930,35,18,186,395,209
5045,3197,4128,3647,23,12,450,931,481
5047,349,383,422,9,0,73,34,0
5049,93,218,164,58,25,71,125,54
5051,2945,3521,3539,16,0,594,575,0
5053,199,242,239,18,1,40,43,3
5055,843,1242,1143,32,8,300,398,98
5057,431,850,653,49,23,222,419,197
5059,690,825,845,16,0,155,135,0
5061,352,387,453,9,0,101,35,0
5063,475,1119,683,58,39,208,643,435
5065,124,292,211,58,28,87,168,81
5067,352,594,680,41,0,328,242,0
5069,2556,3106,3270,18,0,714,550,0
5071,192,389,315,51,19,123,196,73
5073,74,146,92,49,37,18,72,54
5075,257,378,518,32,0,261,121,0
5077,276,456,621,39,0,345,180,0
5079,276,422,335,35,21,59,146,87
5081,112,221,239,49,0,127,109,0
5083,452,496,570,9,0,118,44,0
5085,1260,1627,1833,23,0,573,367,0
5087,142,234,233,39,1,91,92,1
5089,165,273,220,39,19,55,107,52
5091,760,1499,1361,49,9,601,739,138
5093,984,1813,1716,46,5,732,829,97
5095,269,444,429,39,3,160,175,15
5097,178,212,199,16,6,21,35,14
5099,119,234,227,49,3,108,116,8
5101,72,118,82,39,31,10,47,37
5103,491,707,890,31,0,399,216,0
5105,27,55,46,51,16,19,28,9
5107,900,1487,1462,39,2,562,587,25
5109,125,247,184,49,25,59,122,63
5111,636,1050,1099,39,0,463,415,0
5113,346,380,443,9,0,97,34,0
5115,389,786,779,51,1,390,397,7
5117,149,251,188,41,25,39,102,63
5119,13131,17085,17586,23,0,4455,3954,0
5121,267,393,446,32,0,179,126,0
5123,881,1456,1488,39,0,607,575,0
5125,1066,1581,1457,33,8,391,515,124
5127,216,237,291,9,0,75,21,0
5129,97,161,111,39,31,14,63,49
5131,3298,4758,4390,31,8,1092,1461,369
5133,370,407,468,9,0,98,36,0
5135,136,321,226,58,29,90,184,94
5137,73,173,119,58,31,46,99,53
5139,781,1125,1219,31,0,438,344,0
5141,105,247,145,58,41,40,142,102
5143,6857,8794,7857,22,11,1000,1937,937
5145,1748,2951,2273,41,23,525,1203,678
5147,192,324,380,41,0,188,132,0
5149,141,284,257,51,10,116,143,27
6001,55147,76927,72379,28,6,17232,21780,4548
6003,7,14,9,52,38,2,7,5
6005,347,729,449,52,38,102,382,280
6007,7138,7910,8426,10,0,1288,772,0
6009,369,775,401,52,48,32,406,374
6011,381,560,445,32,21,64,179,115
6013,27262,35272,34284,23,3,7022,8010,988
6015,807,1160,963,30,17,156,353,197
6017,2871,3776,3343,24,11,472,905,433
6019,32233,40350,39357,20,2,7124,8117,993
6021,518,761,587,32,23,69,244,175
6023,5827,6467,6641,10,0,814,640,0
6025,5123,7734,6921,34,11,1798,2611,813
6027,271,569,277,52,51,6,298,292
6029,20554,24949,23289,18,7,2735,4395,1660
6031,3196,4026,3774,21,6,578,830,252
6033,2763,3365,3001,18,11,238,602,364
6035,797,1145,882,30,23,85,349,264
6037,441227,534021,529713,17,1,88486,92794,4308
6039,4119,5067,4511,19,11,392,948,556
6041,7576,9153,9997,17,0,2421,1577,0
6043,154,324,193,52,40,39,170,131
6045,3562,4337,4131,18,5,569,775,206
6047,8229,10780,9866,24,8,1637,2551,914
6049,204,293,286,30,2,82,89,7
6051,217,455,220,52,52,3,239,236
6053,9140,10902,11578,16,0,2438,1762,0
6055,2032,3680,2976,45,19,944,1648,704
6057,1914,2690,2058,29,24,144,776,632
6059,90424,110056,110193,18,0,19769,19632,0
6061,5680,6941,6362,18,8,682,1261,579
6063,464,667,621,30,7,157,203,46
6065,48324,59483,54316,19,9,5992,11159,5167
6067,61468,72941,73264,16,0,11796,11473,0
6069,1313,1485,1483,12,0,170,172,2
6071,54884,64234,61170,15,5,6286,9350,3064
6073,97523,116244,118929,16,0,21406,18721,0
6075,45315,69928,61918,35,11,16603,24613,8010
6077,21159,24987,24942,15,0,3783,3828,45
6079,8133,10074,9456,19,6,1323,1941,618
6081,20678,25400,24363,19,4,3685,4722,1037
6083,11326,15071,15221,25,0,3895,3745,0
6085,49353,67603,63642,27,6,14289,18250,3961
6087,7728,10909,10975,29,0,3247,3181,0
6089,4455,6031,5397,26,11,942,1576,634
6091,43,61,50,29,17,7,18,11
6093,1499,2155,1777,30,18,278,656,378
6095,11661,15179,14940,23,2,3279,3518,239
6097,14113,16827,17887,16,0,3774,2714,0
6099,17579,20631,20210,15,2,2631,3052,421
6101,2551,3121,3036,18,3,485,570,85
6103,1372,2017,1661,32,18,289,645,356
6105,272,399,282,32,29,10,128,118
6107,13856,17625,15009,21,15,1153,3769,2616
6109,751,1579,878,52,44,127,827,700
6111,20089,24988,25668,20,0,5579,4899,0
6113,8177,10591,9859,23,7,1682,2414,732
6115,1996,2441,2450,18,0,454,445,0
8001,9432,13167,11974,28,9,2542,3735,1193
8003,426,1034,576,59,44,150,608,458
8005,16996,21159,20092,20,5,3096,4163,1067
8007,64,275,131,77,52,67,211,144
8009,48,117,81,59,31,33,69,36
8011,93,180,162,48,10,69,87,18
8013,12332,15609,14749,21,6,2417,3277,860
8014,676,890,676,24,24,,214,214
8015,214,423,285,50,33,71,210,139
8017,8,16,15,48,4,7,8,1
8019,168,251,188,33,25,20,83,63
8021,129,313,214,59,32,85,184,99
8023,61,148,90,59,39,29,87,58
8025,21,41,50,48,0,29,20,0
8027,32,63,39,50,38,7,31,24
8029,353,818,547,57,33,194,464,270
8031,27064,41773,39537,35,5,12473,14709,2236
8033,4,15,4,77,77,,12,12
8035,2846,3181,2936,11,8,90,336,246
8037,1250,1540,1280,19,17,30,290,260
8039,122,157,131,22,16,9,35,26
8041,16463,20153,19655,18,2,3192,3690,498
8043,523,1036,714,50,31,191,513,322
8045,1238,1977,1540,37,22,302,739,437
8047,161,241,174,33,28,13,80,67
8049,228,281,269,19,4,41,53,12
8051,168,726,239,77,67,71,558,487
8053,2,6,2,77,77,,5,5
8055,76,150,185,50,0,109,74,0
8057,18,22,20,19,10,2,4,2
8059,14234,16791,16872,15,0,2638,2557,0
8061,14,27,18,48,33,4,13,9
8063,95,183,147,48,20,52,88,36
8065,109,216,145,50,33,36,107,71
8067,406,1752,671,77,62,265,1346,1081
8069,11275,13904,12908,19,7,1633,2629,996
8071,338,820,598,59,27,260,482,222
8073,80,155,122,48,21,42,75,33
8075,226,436,385,48,12,159,210,51
8077,3051,5263,4197,42,20,1146,2211,1065
8079,9,22,9,59,59,,13,13
8081,233,372,352,37,5,119,139,20
8083,180,778,386,77,50,206,598,392
8085,489,1133,794,57,30,305,643,338
8087,408,788,595,48,24,187,380,193
8089,596,1445,949,59,34,353,850,497
8091,39,90,44,57,51,5,51,46
8093,98,194,107,50,45,9,96,87
8095,36,69,72,48,0,36,33,0
8097,364,448,373,19,17,9,84,75
8099,280,681,467,59,31,187,400,213
8101,3807,5438,5736,30,0,1929,1631,0
8103,56,90,77,37,14,21,34,13
8105,220,533,333,59,38,113,313,200
8107,450,719,488,37,32,38,269,231
8109,152,368,204,59,45,52,216,164
8111,16,70,20,77,71,4,54,50
8113,156,360,184,57,49,28,205,177
8115,21,40,42,48,0,21,19,0
8117,638,787,656,19,17,18,148,130
8119,188,223,210,16,6,22,35,13
8121,47,90,62,48,32,15,43,28
8123,4851,7388,6542,34,11,1691,2538,847
8125,103,200,173,48,13,70,96,26
9001,24738,38437,36399,36,5,11661,13699,2038
9003,27686,45122,42401,39,6,14715,17436,2721
9005,3633,5635,4920,36,13,1287,2002,715
9007,3093,5123,4271,40,17,1178,2030,852
9009,30075,44027,45228,32,0,15153,13952,0
9011,5264,9236,7859,43,15,2595,3972,1377
9013,2295,3887,3084,41,21,789,1592,803
9015,2112,5143,3545,59,31,1433,3031,1598
10001,2321,3733,3471,38,7,1150,1412,262
10003,9907,15364,15009,36,2,5102,5457,355
10005,3128,4345,3935,28,9,807,1217,410
11001,27807,50248,45213,45,10,17406,22441,5035
12001,12047,13794,13954,13,0,1907,1747,0
12003,398,770,590,48,23,192,372,180
12005,4065,5929,5345,31,10,1280,1865,585
12007,395,647,474,39,27,79,253,174
12009,8094,11069,10730,27,3,2636,2975,339
12011,46936,54736,54783,14,0,7847,7800,0
12013,200,429,268,53,37,68,229,161
12015,1606,2208,2008,27,9,402,602,200
12017,1537,1920,1611,20,16,74,383,309
12019,3055,3771,3291,19,13,236,716,480
12021,3142,6492,3880,52,40,738,3350,2612
12023,1086,1781,1213,39,32,127,695,568
12027,406,577,469,30,19,63,171,108
12029,131,214,154,39,28,23,84,61
12031,25826,35502,35962,27,0,10136,9676,0
12033,7282,10101,10209,28,0,2927,2819,0
12035,1283,1350,1525,5,0,242,67,0
12037,269,576,313,53,46,44,307,263
12039,758,1624,1201,53,26,443,866,423
12041,212,348,247,39,29,35,136,101
12043,149,215,150,31,30,1,66,65
12045,222,475,255,53,46,33,253,220
12047,176,337,242,48,28,66,160,94
12049,330,468,391,30,17,61,138,77
12051,642,928,738,31,20,96,286,190
12053,3055,3631,3313,16,9,258,576,318
12055,1590,2260,1765,30,22,175,670,495
12057,35108,42930,42186,18,2,7078,7822,744
12059,207,302,302,31,0,95,95,0
12061,4034,4731,4254,15,10,220,697,477
12063,614,1316,980,53,26,366,702,336
12065,230,494,325,53,34,95,263,168
12067,72,137,98,48,29,26,65,39
12069,5851,8511,6390,31,25,539,2660,2121
12071,12497,13729,14751,9,0,2254,1232,0
12073,14266,16671,16234,14,3,1968,2405,437
12075,464,761,610,39,20,146,297,151
12077,46,100,54,53,45,8,53,45
12079,340,649,466,48,28,126,309,183
12081,7175,8055,8451,11,0,1276,880,0
12083,5907,7452,6883,21,8,976,1545,569
12085,4299,4387,4448,2,0,149,88,0
12086,86447,113174,115612,24,0,29165,26727,0
12087,1604,2436,2448,34,0,844,832,0
12089,1140,2205,1261,48,43,121,1065,944
12091,4166,5303,4954,21,7,788,1137,349
12093,807,1166,809,31,31,2,359,357
12095,32046,36927,36239,13,2,4193,4881,688
12097,6335,6572,6880,4,0,545,237,0
12099,30318,36762,36076,18,2,5758,6444,686
12101,7058,8184,8306,14,0,1248,1126,0
12103,21132,26198,26057,19,1,4925,5066,141
12105,11707,14657,13621,20,7,1914,2950,1036
12107,703,1496,1206,53,19,503,793,290
12109,3382,3951,3580,14,9,198,569,371
12111,5573,6843,6872,19,0,1299,1270,0
12113,1540,1829,1843,16,0,303,289,0
12115,6173,7428,7270,17,2,1097,1255,158
12117,6786,8672,7264,22,16,478,1886,1408
12119,607,878,642,31,27,35,271,236
12121,641,1225,795,48,35,154,583,429
12123,260,496,353,48,29,93,237,144
12125,141,231,259,39,0,118,90,0
12127,12596,15456,15004,19,3,2408,2860,452
12129,415,888,465,53,48,50,474,424
12131,1116,1628,1377,31,15,261,512,251
12133,282,412,377,31,8,95,130,35
13001,233,497,325,53,34,92,263,171
13003,122,208,170,41,18,48,86,38
13005,160,273,284,41,0,124,113,0
13007,174,273,205,36,25,31,98,67
13009,1742,2573,2084,32,19,342,831,489
13011,171,353,193,51,45,22,182,160
13013,1720,2637,2003,35,24,283,917,634
13015,2397,3397,2785,29,18,388,1000,612
13017,911,1059,1194,14,0,283,147,0
13019,732,850,824,14,3,92,118,26
13021,7335,10254,10689,28,0,3354,2919,0
13023,262,430,320,39,26,58,169,111
13025,112,190,151,41,21,39,79,40
13027,720,837,834,14,0,114,116,2
13029,327,494,387,34,22,60,167,107
13031,3262,4549,3585,28,21,323,1287,964
13033,508,903,844,44,7,336,395,59
13035,432,564,521,23,8,89,132,43
13037,124,195,180,36,7,56,70,14
13039,1613,2092,1923,23,8,310,479,169
13043,216,355,269,39,24,53,139,86
13045,5112,5926,5765,14,3,653,814,161
13047,781,1371,987,43,28,206,589,383
13049,137,233,170,41,27,33,96,63
13051,9880,12605,12995,22,0,3115,2725,0
13053,250,372,256,33,31,6,122,116
13055,281,492,448,43,9,167,212,45
13057,1327,1595,1584,17,1,257,268,11
13059,7387,10063,8767,27,13,1380,2676,1296
13061,65,108,108,40,0,43,43,0
13063,12979,14325,14094,9,2,1115,1346,231
13065,88,150,159,41,0,71,62,0
13067,19924,20488,21370,3,0,1446,564,0
13069,802,1365,1112,41,19,310,564,254
13071,1321,2169,1778,39,18,457,848,391
13073,978,1462,1049,33,28,71,484,413
13075,636,739,702,14,5,66,103,37
13077,3270,4270,4026,23,6,756,1000,244
13079,217,321,282,32,12,65,104,39
13081,787,1310,1103,40,16,316,522,206
13083,151,265,162,43,39,11,114,103
13085,412,640,415,36,35,3,228,225
13087,1213,1900,1497,36,21,284,686,402
13089,26570,31063,31063,14,0,4493,4493,0
13091,452,743,693,39,7,241,291,50
13093,294,489,433,40,11,139,195,56
13095,5767,6867,7280,16,0,1513,1099,0
13097,1776,2581,2168,31,16,392,805,413
13099,426,666,579,36,13,153,241,88
13101,75,128,75,41,41,,53,53
13103,993,1385,1055,28,24,62,392,330
13105,473,680,667,30,2,194,207,13
13107,706,1161,928,39,20,222,455,233
13109,153,325,230,53,29,77,172,95
13111,228,474,295,52,38,67,246,179
13113,1409,1824,1495,23,18,86,415,329
13115,2280,3452,3196,34,7,916,1172,256
13117,572,1318,639,57,52,67,746,679
13119,286,590,460,51,22,174,304,130
13121,35691,49996,50388,29,0,14697,14305,0
13123,362,752,418,52,44,56,390,334
13125,67,119,69,44,42,2,52,50
13127,3266,4236,3923,23,7,657,970,313
13129,855,1775,1081,52,39,226,920,694
13131,923,1445,1072,36,26,149,522,373
13133,368,529,442,30,17,74,161,87
13135,16462,19084,17638,14,8,1176,2622,1446
13137,405,834,607,51,27,202,430,228
13139,4840,6377,5655,24,11,815,1537,722
13141,190,337,228,44,32,38,147,109
13143,473,717,593,34,17,120,243,123
13145,250,416,269,40,35,19,166,147
13147,311,641,475,51,26,164,330,166
13149,265,345,327,23,5,62,80,18
13151,3720,4359,4029,15,8,309,639,330
13153,4032,5380,5060,25,6,1028,1348,320
13155,243,282,376,14,0,133,39,0
13157,1410,2162,1576,35,27,166,752,586
13159,229,333,283,31,15,54,104,50
13161,187,399,295,53,26,108,211,103
13163,446,793,559,44,29,113,347,234
13165,158,282,212,44,25,54,123,69
13167,172,282,217,39,23,45,111,66
13169,390,577,441,32,23,51,186,135
13171,475,619,608,23,2,133,145,12
13173,258,439,287,41,35,29,181,152
13175,1443,2372,1970,39,17,527,929,402
13177,565,672,649,16,4,84,108,24
13179,1189,1795,1658,34,8,469,606,137
13181,131,233,156,44,33,25,102,77
13183,172,259,175,34,33,3,88,85
13185,4324,5766,5227,25,9,903,1442,539
13187,745,1157,769,36,33,24,412,388
13189,615,1093,874,44,20,259,478,219
13191,185,240,196,23,18,11,55,44
13193,216,358,360,40,0,144,143,0
13195,493,710,545,30,23,52,216,164
13197,145,242,190,40,21,45,96,51
13199,520,678,602,23,11,82,158,76
13201,136,212,203,36,5,67,77,10
13205,844,1321,1170,36,11,326,477,151
13207,481,711,625,32,12,144,230,86
13209,113,241,137,53,43,24,128,104
13211,278,404,355,31,12,77,126,49
13213,500,1039,540,52,48,40,539,499
13215,5001,7449,7229,33,3,2228,2448,220
13217,2168,2878,2640,25,8,472,710,238
13219,448,644,451,30,30,3,196,193
13221,160,231,170,30,26,10,70,60
13223,2640,3676,2833,28,23,193,1036,843
13225,703,1039,1034,32,0,331,336,5
13227,379,787,500,52,36,121,408,287
13229,201,343,291,41,15,90,142,52
13231,257,336,266,23,21,9,78,69
13233,794,1202,1086,34,10,292,408,116
13235,238,317,311,25,2,73,79,6
13237,573,846,688,32,19,115,273,158
13239,47,79,47,40,40,,31,31
13241,456,707,520,36,27,64,251,187
13243,115,191,237,40,0,122,76,0
13245,8210,9902,12982,17,0,4772,1692,0
13247,1947,2584,2243,25,13,296,637,341
13249,74,122,95,40,23,21,49,28
13251,224,312,291,28,7,67,88,21
13253,183,287,188,36,34,5,104,99
13255,2381,3106,3096,23,0,715,726,11
13257,281,579,551,51,5,270,298,28
13259,114,189,153,40,19,39,75,36
13261,774,1288,1374,40,0,600,513,0
13263,71,117,105,40,11,34,47,13
13265,47,83,52,44,38,5,36,31
13267,295,627,422,53,33,127,332,205
13269,157,261,241,40,8,84,104,20
13271,282,600,356,53,41,74,318,244
13273,350,548,476,36,13,126,198,72
13275,1711,2810,2157,39,23,446,1099,653
13277,1587,1843,2012,14,0,425,256,0
13279,750,1595,937,53,41,187,845,658
13281,159,247,162,36,34,3,88,85
13283,110,180,174,39,4,64,71,7
13285,2574,3355,3238,23,3,664,781,117
13287,445,517,544,14,0,99,72,0
13289,86,127,90,32,29,4,41,37
13291,444,689,488,36,29,44,245,201
13293,1004,1309,1312,23,0,308,306,0
13295,1100,1930,1391,43,28,291,830,539
13297,1629,2369,2087,31,12,458,740,282
13299,780,1328,1185,41,11,405,548,143
13301,132,235,199,44,15,67,103,36
13303,388,689,559,44,19,171,301,130
13305,447,950,675,53,29,228,503,275
13307,11,18,12,40,34,1,7,6
13309,67,143,94,53,34,27,76,49
13311,807,1253,872,36,30,65,446,381
13313,2006,2305,2190,13,5,184,299,115
13315,117,192,133,39,31,16,75,59
13317,348,618,456,44,26,108,270,162
13319,101,149,141,32,6,40,48,8
13321,427,701,585,39,17,158,274,116
15001,5042,7622,6604,34,13,1562,2580,1018
15003,27529,35121,36305,22,0,8776,7592,0
15005,3,4,3,32,32,,1,1
15007,1113,1639,1818,32,0,705,526,0
15009,3342,4923,4789,32,3,1447,1580,133
16001,8602,10406,10212,17,2,1610,1805,195
16003,34,62,35,45,43,1,28,27
16005,2205,3211,2639,31,18,434,1006,572
16007,93,135,126,31,7,33,42,9
16009,122,185,153,34,17,31,63,32
16011,366,575,457,36,21,91,210,119
16013,308,535,350,42,35,42,227,185
16015,82,149,95,45,36,13,67,54
16017,852,1295,909,34,30,57,443,386
16019,2408,2697,2894,11,0,486,289,0
16021,137,208,150,34,28,13,71,58
16023,30,55,30,45,45,,24,24
16025,14,25,14,42,42,,11,11
16027,3411,5543,4083,38,26,672,2132,1460
16029,47,69,69,31,0,22,22,0
16031,277,420,330,34,21,53,143,90
16033,1,2,1,45,45,,1,1
16035,73,133,83,45,37,10,59,49
16037,34,61,36,45,41,2,27,25
16039,269,468,344,42,26,75,198,123
16041,118,172,139,31,19,21,54,33
16043,83,132,111,37,16,28,49,21
16045,417,465,455,10,2,38,48,10
16047,172,298,188,42,37,16,127,111
16049,158,286,184,45,36,26,128,102
16051,122,193,153,37,21,31,71,40
16053,285,495,356,42,28,71,210,139
16055,1284,2039,1797,37,12,513,755,242
16057,1464,2224,1549,34,30,85,760,675
16059,159,287,193,45,33,34,128,94
16061,59,108,102,45,5,43,48,5
16063,37,64,47,42,27,10,27,17
16065,900,1428,978,37,32,78,528,450
16067,175,304,224,42,26,49,129,80
16069,690,1249,1072,45,14,382,559,177
16071,66,96,71,31,26,5,30,25
16073,93,236,102,61,57,9,143,134
16075,448,500,499,10,0,51,51,0
16077,60,87,75,31,14,15,27,12
16079,266,404,367,34,9,101,138,37
16081,122,194,122,37,37,,72,72
16083,1254,1900,1633,34,14,379,646,267
16085,106,192,112,45,42,6,86,80
16087,252,281,305,10,0,53,29,0
17001,1071,1995,1643,46,18,572,924,352
17003,123,290,374,57,0,251,167,0
17005,133,267,253,50,5,120,134,14
17007,503,640,726,21,0,223,136,0
17009,42,78,114,46,0,72,36,0
17011,718,930,867,23,7,149,212,63
17013,45,92,77,52,17,32,47,15
17015,217,348,261,38,25,44,132,88
17017,175,361,217,52,40,42,186,144
17019,12019,14194,13126,15,8,1107,2175,1068
17021,720,1342,988,46,26,268,622,354
17023,178,301,243,41,19,65,123,58
17025,96,163,197,41,0,101,67,0
17027,255,510,400,50,22,145,255,110
17029,1238,2360,1617,48,31,379,1122,743
17031,197796,265899,254139,26,4,56343,68103,11760
17033,193,327,202,41,38,9,134,125
17035,51,97,97,48,0,46,46,0
17037,7091,7931,7855,11,1,764,840,76
17039,250,465,381,46,18,131,216,85
17041,217,414,220,48,47,3,197,194
17043,13780,16434,16595,16,0,2815,2654,0
17045,244,465,371,48,20,127,221,94
17047,69,162,110,57,32,41,93,52
17049,291,583,607,50,0,316,292,0
17051,170,341,199,50,42,29,171,142
17053,105,190,183,45,4,78,85,7
17055,628,1117,1079,44,3,451,489,38
17057,641,1148,943,44,18,302,508,206
17059,57,135,121,57,10,64,77,13
17061,125,257,238,52,8,113,133,20
17063,452,1197,632,62,47,180,745,565
17065,116,273,146,57,46,30,157,127
17067,199,356,244,44,32,45,157,112
17069,57,135,136,57,0,79,77,0
17071,65,117,88,44,25,23,52,29
17073,540,967,909,44,6,369,428,59
17075,376,681,402,45,41,26,305,279
17077,2926,5207,3734,44,28,808,2281,1473
17079,75,127,97,41,24,22,52,30
17081,449,929,871,52,6,422,480,58
17083,209,431,433,52,0,224,222,0
17085,232,372,338,38,9,106,141,35
17087,96,225,172,57,24,76,130,54
17089,8710,12369,11082,30,10,2372,3659,1287
17091,2648,3871,3471,32,10,823,1223,400
17093,591,1566,796,62,49,205,975,770
17095,1704,2206,2270,23,0,566,503,0
17097,11233,17318,15726,35,9,4493,6085,1592
17099,1936,3004,2753,36,8,817,1068,251
17101,190,321,268,41,17,78,132,54
17103,429,689,632,38,8,203,260,57
17105,366,663,604,45,9,238,297,59
17107,682,1270,862,46,32,180,589,409
17109,1002,1796,1295,44,28,293,794,501
17111,3179,5011,3956,37,21,777,1832,1055
17113,5183,8035,6370,35,21,1187,2852,1665
17115,3380,5280,4849,36,8,1469,1900,431
17117,523,1079,729,52,32,206,556,350
17119,6639,10806,8471,39,22,1832,4167,2335
17121,469,970,860,52,11,391,502,111
17123,176,228,200,23,12,24,52,28
17125,214,399,316,46,21,102,185,83
17127,207,487,368,57,24,161,280,119
17129,145,270,280,46,0,135,125,0
17131,140,251,182,44,27,42,111,69
17133,229,473,231,52,51,2,245,243
17135,322,644,477,50,26,155,322,167
17137,535,1104,946,52,14,411,569,158
17139,164,306,175,46,43,11,142,131
17141,494,802,777,38,3,283,309,26
17143,5857,8000,8185,27,0,2328,2143,0
17145,264,470,442,44,6,178,206,28
17147,149,277,182,46,34,33,128,95
17149,184,342,294,46,14,110,159,49
17151,40,95,92,57,3,52,54,2
17153,98,231,175,57,24,77,133,56
17155,96,125,97,23,22,1,28,27
17157,303,627,424,52,32,121,324,203
17159,156,263,277,41,0,121,108,0
