county,Housing gap,Total ELI renters,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),Number of HUD asst units,AAA units,AAA units (asst off)
National,8185518,11471157,10815011,29,6,2629493,3285639,656146
1001,496,803,640,38,20,144,307,163
1003,3981,6831,4473,42,35,492,2850,2358
1005,634,913,1113,31,0,479,279,0
1007,221,586,302,62,48,81,365,284
1009,513,1083,815,53,25,302,570,268
1011,163,235,383,31,0,220,72,0
1013,462,971,677,52,30,215,508,293
1015,2337,3620,3452,35,5,1115,1283,168
1017,501,1284,803,61,37,302,783,481
1019,277,697,414,60,41,137,420,283
1021,387,992,494,61,50,107,605,498
1023,131,256,132,49,48,1,125,124
1025,479,933,555,49,41,76,454,378
1027,108,272,281,60,0,173,164,0
1029,134,337,197,60,42,63,203,140
1031,844,1772,1247,52,30,403,928,525
1033,892,1418,1610,37,0,718,525,0
1035,294,572,472,49,18,178,279,101
1037,68,173,72,61,59,4,106,102
1039,636,1335,941,52,30,305,699,394
1041,196,412,399,52,3,203,216,13
1043,1321,2967,1691,55,43,370,1646,1276
1045,811,1456,1303,44,10,492,645,153
1047,1185,3137,2300,62,27,1115,1952,837
1049,462,743,921,38,0,459,281,0
1051,674,1090,811,38,26,137,417,280
1053,956,1861,1166,49,37,210,906,696
1055,1796,2610,2808,31,0,1012,814,0
1057,245,635,436,61,31,191,389,198
1059,462,733,840,37,0,378,272,0
1061,381,683,652,44,5,271,303,32
1063,141,373,320,62,14,179,232,53
1065,190,503,304,62,40,114,313,199
1067,161,290,281,44,3,120,128,8
1069,1811,3251,2882,44,11,1071,1439,368
1071,432,694,799,38,0,367,262,0
1073,18172,30518,28780,40,6,10608,12346,1738
1075,190,490,404,61,18,214,301,87
1077,1974,3137,3034,37,3,1060,1163,103
1079,436,785,582,44,26,146,349,203
1081,4978,7524,6102,34,19,1124,2546,1422
1083,1421,2492,1957,43,21,536,1072,536
1085,104,168,276,38,0,172,64,0
1087,655,944,1135,31,0,480,289,0
1089,7144,10425,9691,31,7,2547,3281,734
1091,337,892,572,62,36,235,555,320
1093,357,821,752,56,8,395,463,68
1095,1115,2790,2099,60,25,984,1674,690
1097,10388,14570,16435,29,0,6047,4182,0
1099,423,824,567,49,31,144,401,257
1101,8524,11354,11522,25,0,2998,2830,0
1103,2486,4474,3359,44,25,873,1988,1115
1105,192,508,343,62,32,151,316,165
1107,528,1133,749,53,34,221,604,383
1109,1378,1985,1901,31,4,523,608,85
1111,270,678,373,60,45,103,409,306
1113,1969,2837,2832,31,0,863,868,5
1115,944,1995,1135,53,43,191,1051,860
1117,3420,3861,3718,11,4,298,441,143
1119,356,942,672,62,29,316,586,270
1121,1187,2986,2130,60,29,943,1799,856
1123,451,1156,913,61,21,462,705,243
1125,6757,9320,9149,28,2,2392,2564,172
1127,678,1754,1236,61,30,558,1076,518
1129,135,263,154,49,41,19,128,109
1131,208,405,290,49,28,82,197,115
1133,347,779,570,55,27,223,432,209
2013,16,23,16,31,31,,7,7
2016,56,81,56,31,31,,25,25
2020,6875,9426,8719,27,8,1844,2551,707
2050,130,188,199,31,0,69,59,0
2060,15,21,15,31,31,,7,7
2068,13,22,13,43,43,,9,9
2070,48,70,54,31,23,6,22,16
2090,2264,3939,2807,43,29,543,1675,1132
2100,53,92,53,43,43,,39,39
2110,629,1094,1126,43,0,497,465,0
2122,1033,1352,1238,24,8,205,318,113
2150,240,349,292,31,16,52,109,57
2164,15,21,15,31,31,,7,7
2170,1404,1836,1652,24,10,248,433,185
2180,129,188,141,31,25,12,58,46
2185,49,71,51,31,28,2,22,20
2188,68,99,68,31,31,,31,31
2220,344,500,371,31,26,27,156,129
2232,56,85,56,34,34,,29,29
2240,53,92,53,43,43,,39,39
2261,92,161,129,43,20,37,68,31
2270,27,39,27,31,31,,12,12
2282,15,22,15,31,31,,7,7
2290,56,81,56,31,31,,25,25
2999,521,859,648,39,25,127,337,210
4001,368,923,427,60,54,59,555,496
