county,Housing gap,Total ELI renters,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),Number of HUD asst units,AAA units,AAA units (asst off)
51003,1935,2427,2165,20,11,230,492,262
51005,58,103,192,44,0,134,45,0
51007,65,152,65,58,58,,88,88
51009,279,599,303,53,49,24,320,296
51011,88,207,118,58,43,30,119,89
51013,5559,6651,7271,16,0,1712,1092,0
51015,753,1339,867,44,35,114,586,472
51017,15,26,16,44,40,1,11,10
51019,434,932,438,53,53,4,497,493
51021,88,171,88,49,49,,83,83
51023,96,148,97,35,34,1,52,51
51025,258,494,295,48,40,37,236,199
51027,368,715,436,49,39,68,347,279
51029,83,195,84,58,57,1,112,111
51031,701,1504,796,53,47,95,803,708
51033,248,405,284,39,30,36,156,120
51035,437,849,551,49,35,114,412,298
51036,17,35,19,52,46,2,18,16
51037,102,241,104,58,57,2,139,137
51041,2826,3201,3310,12,0,484,375,0
51043,96,213,113,55,47,17,118,101
51045,28,50,44,44,12,16,22,6
51047,873,1099,1047,21,5,174,227,53
51049,89,209,159,58,24,70,120,50
51051,210,476,408,56,14,198,267,69
51053,218,452,267,52,41,49,234,185
51057,117,191,152,39,20,35,74,39
51059,10765,15056,14902,28,1,4137,4291,154
51061,324,723,503,55,30,179,399,220
51063,219,283,235,23,17,16,64,48
51065,180,226,209,20,7,29,46,17
51067,313,701,433,55,38,120,388,268
51069,916,1347,970,32,28,54,431,377
51071,306,396,398,23,0,92,90,0
51073,238,275,330,14,0,92,38,0
51075,24,36,35,32,1,11,11,0
51077,212,412,272,49,34,60,200,140
51079,225,282,291,20,0,66,57,0
51081,116,222,131,48,41,15,106,91
51083,341,804,444,58,45,103,462,359
51085,371,544,568,32,0,197,173,0
51087,4115,6256,6081,34,3,1966,2141,175
51089,519,1164,629,55,46,110,645,535
51091,25,45,25,44,44,,20,20
51093,266,447,510,40,0,244,180,0
51095,555,643,631,14,2,76,88,12
51097,65,106,74,39,30,9,41,32
51099,204,339,205,40,40,1,136,135
51101,106,173,135,39,22,29,67,38
51103,151,247,191,39,22,40,95,55
51105,323,734,707,56,4,384,411,27
51107,1339,2989,1851,55,38,512,1650,1138
51109,404,668,483,40,28,79,265,186
51111,184,353,187,48,47,3,169,166
51113,95,157,105,40,33,10,62,52
51115,47,55,59,14,0,12,7,0
51117,405,776,468,48,40,63,371,308
51119,91,148,110,39,26,19,57,38
51121,4808,6216,5209,23,16,401,1408,1007
51125,177,315,207,44,34,30,138,108
51127,86,178,88,52,51,2,92,90
51131,253,413,425,39,0,172,160,0
51133,81,131,94,39,29,13,51,38
51135,173,408,173,58,58,,235,235
51137,336,556,408,40,27,72,220,148
51139,313,519,324,40,37,11,205,194
51141,91,205,120,55,41,29,114,85
51143,633,1235,725,49,41,92,602,510
51145,56,82,75,32,9,19,26,7
51147,265,624,345,58,45,80,359,279
51149,248,514,304,52,41,56,266,210
51153,4337,5159,5366,16,0,1029,822,0
51155,914,1182,1130,23,4,216,268,52
51157,104,172,108,40,37,4,68,64
51159,52,84,59,39,30,7,32,25
51161,615,945,999,35,0,384,330,0
51163,419,746,461,44,38,42,326,284
51165,853,1413,936,40,34,83,559,476
51167,347,789,534,56,32,187,442,255
51169,366,761,531,52,30,165,395,230
51171,675,993,832,32,16,157,318,161
51173,493,1026,857,52,16,364,532,168
51175,270,517,279,48,46,9,247,238
51177,1588,2000,1860,21,7,272,412,140
51179,852,1422,1107,40,22,255,569,314
51181,59,112,66,48,42,7,54,47
51183,210,402,310,48,23,100,192,92
51185,916,1780,1164,49,35,248,865,617
51187,256,572,374,55,35,118,316,198
51191,1103,2293,1255,52,45,152,1190,1038
51193,142,232,218,39,6,76,90,14
51195,613,1395,1080,56,23,467,781,314
51197,497,967,773,49,20,276,469,193
51199,381,441,503,14,0,122,60,0
51510,2733,3822,4874,28,0,2141,1089,0
51515,158,340,294,53,13,136,182,46
51520,591,1229,1017,52,17,426,638,212
51530,174,309,208,44,33,34,135,101
51540,1935,2427,2675,20,0,740,492,0
51550,2394,2885,3688,17,0,1294,491,0
51570,254,526,355,52,33,101,272,171
51580,111,197,181,44,8,70,86,16
51590,1463,2853,2401,49,16,938,1390,452
51595,174,334,287,48,14,113,160,47
51600,273,324,312,16,4,39,51,12
51610,142,204,240,30,0,98,62,0
51620,395,757,616,48,19,221,362,141
51630,1244,1566,1822,21,0,578,323,0
51640,332,646,473,49,27,141,314,173
51650,3410,4834,5151,29,0,1741,1424,0
51660,1730,2864,2095,40,27,365,1134,769
51670,579,1199,1136,52,5,557,620,63
51678,169,301,225,44,25,56,132,76
51680,1517,3256,2857,53,12,1340,1739,399
51683,430,673,545,36,19,115,243,128
51685,96,151,131,36,13,35,55,20
51690,270,605,421,55,30,151,335,184
51700,3919,7230,7916,46,0,3997,3311,0
51710,7756,12036,11961,36,1,4205,4280,75
51720,93,212,272,56,0,179,119,0
51730,867,1796,1862,52,0,995,929,0
51735,56,64,67,14,0,11,9,0
51740,2215,3713,4025,40,0,1810,1499,0
51750,1127,1457,1296,23,11,169,330,161
51760,8831,15144,14580,42,4,5749,6313,564
51770,3195,5178,4994,38,4,1799,1983,184
51775,453,734,480,38,35,27,281,254
51790,678,1205,971,44,19,293,527,234
51800,1056,1770,1903,40,0,847,714,0
51810,3547,4986,4977,29,0,1430,1439,9
51820,647,1150,950,44,17,303,503,200
51830,211,244,275,14,0,64,33,0
51840,746,1098,832,32,24,86,351,265
53001,292,506,353,42,30,61,213,152
53003,559,788,744,29,6,185,229,44
53005,3117,4779,3901,35,18,784,1662,878
53007,1168,1598,1473,27,8,305,430,125
53009,1941,2583,2278,25,12,337,643,306
53011,6356,8780,8052,28,8,1696,2424,728
53013,123,173,141,29,19,18,50,32
53015,2163,3199,2902,32,9,739,1036,297
53017,613,839,676,27,19,63,226,163
53019,81,139,106,42,24,25,59,34
53021,1283,1968,1692,35,14,409,685,276
53023,45,64,45,29,29,,19,19
53025,1451,2511,1821,42,27,370,1059,689
53027,1718,2572,2160,33,16,442,854,412
53029,932,1566,1219,41,22,287,635,348
53031,750,999,855,25,14,105,248,143
53033,51656,72696,58655,29,19,6999,21040,14041
53035,2902,5411,4502,46,17,1600,2509,909
53037,1534,2099,1775,27,15,241,565,324
53039,388,574,494,32,14,106,186,80
53041,1513,2265,1751,33,23,238,752,514
53043,151,261,163,42,38,12,110,98
53045,701,933,803,25,14,102,232,130
53047,739,1011,939,27,7,200,272,72
53049,536,803,584,33,27,48,266,218
53051,196,340,246,42,27,50,143,93
53053,17255,22623,22326,24,1,5071,5368,297
53055,240,404,251,41,38,11,164,153
53057,1809,3041,2162,41,29,353,1232,879
53059,112,166,191,32,0,79,54,0
53061,12603,17667,17087,29,3,4484,5064,580
53063,10644,14043,14023,24,0,3379,3399,20
53065,462,799,573,42,28,111,337,226
53067,5801,7448,7046,22,5,1245,1647,402
53069,72,106,87,32,18,15,34,19
53071,1768,2494,2267,29,9,499,726,227
53073,4688,6991,6066,33,13,1378,2303,925
53075,2364,3335,2528,29,24,164,970,806
53077,5374,7312,6249,27,15,875,1938,1063
54001,319,659,432,52,35,113,341,228
54003,1223,2657,1831,54,31,608,1433,825
54005,315,676,412,53,39,97,360,263
54007,173,358,214,52,40,41,185,144
54009,386,593,539,35,9,153,207,54
54011,1653,3438,2983,52,13,1330,1785,455
54013,96,174,158,45,9,62,78,16
54015,108,230,143,53,38,35,123,88
54017,44,69,46,36,33,2,25,23
54019,675,1417,955,52,33,280,742,462
54021,186,385,207,52,46,21,199,178
54023,107,232,159,54,32,52,125,73
54025,775,1628,1034,52,36,259,853,594
54027,269,584,361,54,38,92,315,223
54029,931,1431,1120,35,22,189,500,311
54031,55,119,65,54,46,10,64,54
54033,1435,2247,1967,36,12,532,812,280
54035,360,653,681,45,0,321,293,0
54037,525,1140,688,54,40,163,615,452
54039,3383,7250,5909,53,18,2526,3867,1341
54041,365,755,509,52,33,144,390,246
54043,243,871,363,72,58,120,627,507
54045,383,1369,615,72,55,232,986,754
54047,173,770,323,77,58,150,597,447
54049,962,1506,1328,36,12,366,544,178
54051,831,1277,1116,35,13,285,446,161
54053,184,383,419,52,0,235,199,0
54055,654,2901,1027,77,65,373,2247,1874
54057,353,768,657,54,14,304,414,110
54059,226,808,575,72,29,349,582,233
54061,3831,5278,4101,27,22,270,1447,1177
54063,33,130,68,75,48,35,97,62
54065,191,416,219,54,47,28,224,196
54067,231,485,378,52,22,147,254,107
54069,1532,2355,2275,35,3,743,822,79
54071,96,208,102,54,51,6,112,106
54073,88,159,119,45,25,31,71,40
54075,99,208,107,52,49,8,109,101
54077,396,546,502,27,8,106,150,44
54079,474,1015,625,53,38,151,541,390
54081,465,1842,1164,75,37,699,1377,678
54083,516,1068,738,52,31,222,552,330
54085,134,242,164,45,32,30,109,79
54087,287,521,378,45,27,91,234,143
54089,56,223,188,75,15,132,166,34
54091,167,262,319,36,0,152,95,0
54093,120,248,147,52,41,27,128,101
54095,119,216,139,45,36,20,97,77
54097,314,649,519,52,20,205,335,130
54099,477,1707,806,72,53,329,1230,901
54101,161,337,253,52,25,92,177,85
54103,429,659,615,35,7,186,230,44
54105,119,216,144,45,33,25,97,72
54107,2371,4300,3207,45,25,836,1929,1093
54109,120,532,267,77,50,147,412,265
55001,229,381,243,40,36,14,152,138
55003,223,590,402,62,32,179,367,188
55005,575,1184,859,51,27,284,610,326
55007,142,375,196,62,48,54,233,179
55009,6695,9270,8718,28,6,2023,2575,552
55011,163,393,186,58,53,23,229,206
55013,165,437,215,62,51,50,272,222
55015,570,808,736,29,9,166,238,72
55017,761,1591,1123,52,29,362,830,468
55019,181,373,295,51,21,114,192,78
55021,311,1079,546,71,49,235,768,533
55023,219,526,329,58,37,110,307,197
55025,14317,18870,17601,24,7,3284,4553,1269
55027,489,1694,777,71,54,288,1205,917
55029,306,790,436,61,45,130,484,354
55031,608,1611,1230,62,24,622,1003,381
55033,510,1050,662,51,37,152,541,389
55035,2145,4487,2782,52,38,637,2342,1705
55037,28,72,58,61,20,30,44,14
55039,1850,2896,2552,36,12,702,1047,345
55041,105,174,144,40,17,39,69,30
55043,784,1227,989,36,19,205,443,238
55045,392,613,489,36,20,97,221,124
55047,246,386,351,36,9,105,139,34
55049,261,408,351,36,14,90,147,57
55051,79,210,120,62,43,41,131,90
55053,233,559,300,58,46,67,326,259
55055,1515,2507,1906,40,24,391,992,601
55057,308,511,389,40,24,81,204,123
55059,3237,4745,4686,32,1,1449,1508,59
55061,107,276,154,61,44,47,169,122
55063,1837,4116,2673,55,35,836,2279,1443
55065,168,262,206,36,22,38,95,57
55067,279,464,441,40,5,162,185,23
55069,376,625,511,40,18,135,249,114
55071,652,1681,1074,61,36,422,1029,607
55073,1092,1712,1624,36,5,532,620,88
55075,396,1021,693,61,32,297,625,328
55077,186,292,205,36,30,19,106,87
55078,30,46,44,36,6,14,17,3
55079,42250,57248,55331,26,3,13081,14998,1917
55081,609,1464,824,58,44,215,855,640
55083,182,471,316,61,33,134,288,154
55085,547,910,696,40,23,149,362,213
55087,3549,5028,4309,29,14,760,1479,719
55089,1730,2068,1997,16,3,267,337,70
55091,60,144,67,58,54,7,84,77
55093,636,1528,794,58,48,158,892,734
55095,355,732,556,51,24,201,377,176
55097,1402,2331,1680,40,28,278,928,650
55099,152,402,219,62,46,67,250,183
55101,3984,6608,5133,40,22,1149,2624,1475
55103,294,460,435,36,5,141,166,25
55105,2979,4172,4416,29,0,1437,1193,0
55107,164,435,240,62,45,76,270,194
55109,669,1378,1016,51,26,347,709,362
55111,367,1270,641,71,50,274,904,630
55113,257,681,362,62,47,105,424,319
55115,579,906,691,36,24,112,327,215
55117,1682,3170,2254,47,29,572,1488,916
55119,150,397,233,62,41,83,247,164
55121,331,794,509,58,36,178,464,286
55123,295,709,453,58,36,158,414,256
55125,325,541,360,40,33,35,215,180
55127,2560,4237,2990,40,29,430,1677,1247
55129,208,549,293,62,47,85,342,257
55131,2362,2822,2903,16,0,541,461,0
55133,3573,5366,4846,33,10,1273,1793,520
55135,852,1334,1086,36,19,234,482,248
55137,264,413,303,36,27,39,149,110
55139,4263,6039,5498,29,9,1235,1776,541
55141,1102,1831,1715,40,6,613,729,116
56001,748,1583,939,53,41,191,836,645
56003,110,198,111,45,44,1,88,87
56005,290,523,362,45,31,72,233,161
56007,108,238,159,55,33,51,130,79
56009,222,400,347,45,13,125,178,53
56011,61,110,61,45,45,,49,49
56013,476,1049,591,55,44,115,573,458
56015,201,363,255,45,30,54,162,108
56017,120,216,156,45,28,36,96,60
56019,100,180,124,45,31,24,80,56
56021,720,1526,1405,53,8,685,805,120
56023,59,152,71,61,53,12,93,81
56025,1472,3245,1983,55,39,511,1773,1262
56027,29,52,49,45,6,20,23,3
56029,205,524,261,61,50,56,320,264
56031,107,193,131,45,32,24,86,62
56033,586,1057,778,45,26,192,471,279
56035,21,53,21,61,61,,32,32
56037,153,392,357,61,9,204,239,35
56039,180,462,180,61,61,,282,282
56041,89,228,164,61,28,75,139,64
56043,75,136,113,45,17,38,60,22
56045,39,71,52,45,26,13,32,19
