county,Housing gap,Total ELI renters,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),Number of HUD asst units,AAA units,AAA units (asst off)
48327,4,55,4,93,93,,51,51
48329,2641,3238,3057,18,6,416,597,181
48331,654,843,846,22,0,192,189,0
48333,16,30,34,48,0,18,15,0
48335,152,214,215,29,0,63,62,0
48337,203,398,222,49,44,19,195,176
48339,3155,6463,4328,51,33,1173,3308,2135
48341,226,377,258,40,32,32,151,119
48343,149,284,231,47,18,82,134,52
48345,13,25,16,49,36,3,12,9
48347,1707,2463,2304,31,6,597,757,160
48349,519,939,809,45,14,290,421,131
48351,84,200,114,58,43,30,116,86
48353,418,587,587,29,0,169,169,0
48355,8917,12417,11790,28,5,2873,3501,628
48357,100,167,122,40,27,22,67,45
48359,17,28,19,40,33,2,11,9
48361,1162,1832,1601,37,13,439,670,231
48363,908,1276,1026,29,20,118,368,250
48365,162,224,245,28,0,83,62,0
48367,1269,1609,1650,21,0,381,340,0
48369,107,179,128,40,28,21,72,51
48371,129,248,206,48,17,77,119,42
48373,1216,1623,1393,25,14,177,407,230
48375,3448,4368,4191,21,4,743,920,177
48377,33,64,72,48,0,39,31,0
48379,41,107,57,62,47,16,66,50
48381,2273,3009,2643,24,12,370,736,366
48383,3,40,6,93,86,3,38,35
48385,29,48,29,39,39,,19,19
48387,158,301,270,47,10,112,143,31
48389,76,146,143,48,2,67,70,3
48391,54,113,87,52,23,33,59,26
48393,1,2,1,40,40,,1,1
48395,245,497,480,51,4,235,253,18
48397,530,786,626,33,20,96,256,160
48399,13,179,58,93,68,45,166,121
48401,320,442,436,28,1,116,122,6
48403,69,165,100,58,39,31,96,65
48405,136,324,193,58,40,57,188,131
48407,316,422,323,25,23,7,106,99
48409,980,1569,1608,38,0,628,588,0
48411,39,74,71,48,5,32,36,4
48413,6,86,21,93,76,15,80,65
48415,372,522,421,29,19,49,150,101
48417,39,54,39,29,29,,16,16
48419,417,994,551,58,45,134,577,443
48421,35,59,38,40,35,3,24,21
48423,4024,5054,4758,20,6,734,1030,296
48425,43,136,57,68,58,14,93,79
48427,620,1316,805,53,39,185,696,511
48429,225,317,323,29,0,98,91,0
48431,2,23,2,93,93,,21,21
48433,28,40,43,29,0,15,11,0
48435,1,12,5,93,60,4,11,7
48437,101,168,182,40,0,81,68,0
48439,37535,46012,44651,18,3,7116,8477,1361
48441,1825,2071,2317,12,0,492,246,0
48443,9,17,9,48,48,,8,8
48445,174,340,264,49,22,90,165,75
48447,27,38,37,29,2,10,11,1
48449,341,648,472,47,27,131,307,176
48451,2447,3405,3150,28,8,703,959,256
48453,37059,43086,42553,14,1,5494,6027,533
48455,369,492,390,25,21,21,123,102
48457,312,743,347,58,53,35,431,396
48459,219,577,383,62,34,164,358,194
48461,2,35,2,93,93,,32,32
48463,420,684,582,39,15,162,264,102
48465,886,1443,1387,39,4,501,558,57
48467,382,1007,554,62,45,172,625,453
48469,1677,2200,2262,24,0,585,524,0
48471,3501,4671,3787,25,19,286,1170,884
48473,677,1204,747,44,38,70,527,457
48475,84,162,158,48,2,74,77,3
48477,513,1044,757,51,27,244,531,287
48479,4190,6397,5288,35,17,1098,2207,1109
48481,1102,1403,1275,21,9,173,302,129
48483,56,94,77,40,18,21,38,17
48485,2454,5232,3410,53,35,956,2778,1822
48487,284,555,385,49,31,101,272,171
48489,215,456,314,53,31,99,241,142
48491,2883,3877,3611,26,7,728,994,266
48493,211,381,289,45,24,78,170,92
48495,52,99,83,48,16,31,47,16
48497,359,704,389,49,45,30,344,314
48499,218,576,269,62,53,51,357,306
48501,17,33,24,49,27,7,16,9
48503,329,645,446,49,31,117,316,199
48505,343,728,423,53,42,80,385,305
48507,255,415,533,39,0,278,160,0
49001,44,63,66,30,0,22,19,0
49003,295,361,398,18,0,103,66,0
49005,1719,2104,1946,18,8,227,385,158
49007,363,565,523,36,7,160,202,42
49009,11,16,11,36,36,,6,6
49011,2437,2943,3221,17,0,784,506,0
49013,173,270,204,36,24,31,96,65
49015,86,134,120,36,10,34,48,14
49017,13,19,13,30,30,,6,6
49019,138,214,166,36,23,28,77,49
49021,545,781,600,30,23,55,235,180
49023,58,83,58,30,30,,25,25
49025,49,71,49,30,30,,21,21
49027,78,111,78,30,30,,33,33
49029,7,11,7,36,36,,4,4
49031,2,3,2,30,30,,1,1
49033,5,6,5,18,18,,1,1
49035,14379,20330,18479,29,9,4100,5951,1851
49037,128,199,128,36,36,,71,71
49039,117,167,120,30,28,3,50,47
49041,98,140,121,30,14,23,42,19
49043,467,727,468,36,36,1,260,259
49045,498,610,648,18,0,150,112,0
49047,271,423,306,36,27,35,151,116
49049,6921,8080,8036,14,1,1115,1159,44
49051,229,356,230,36,35,1,127,126
49053,1572,2250,1726,30,23,154,678,524
49055,7,11,7,30,30,,3,3
