l30_4,county,state,hud_units06,pop2011_13,state_flag,Avg_ELITotal_05_07,Avg_Units_05_07,Avg_Units_No_Assist_05_07,Gap_05_to_07,Gap_05_to_07_No_Assist,per100,per100_No_Assist,state_hud_units06,State_Avg_ELITotal_05_07,State_Avg_Units_05_07,State_Avg_Units_No_Assist_05_07,State_Gap_05_to_07,State_Gap_05_to_07_No_Assist,State_per100,State_per100_No_Assist,MinEli,MaxEli,min_max_same
,National,,2312847,,1,9664609.667,3195459.667,882612.6667,6469150,8781997,33.063515,9.132419178,,,,0,,,,0,,,1
16750,01001,01,133,55263,0,1050.738815,237.7593606,104.7593606,812.9794542,945.9794542,22.62782694,9.970066696,,,,,,,,,,,
17450,01003,01,441,190981,0,3201,1016.666667,575.6666667,2184.333333,2625.333333,31.76090805,17.98396334,,,,,,,,,,,
13550,01005,01,423,27203,0,1243.095218,818.1563095,395.1563095,424.9389083,847.9389083,65.81606121,31.78809667,,,,,,,,,,,
17200,01007,01,64,22648,0,448.6721021,230.6334633,166.6334633,218.0386388,282.0386388,51.40356671,37.13925215,,,,,,,,,,,
17200,01009,01,302,57807,0,731.1546124,426.3092248,124.3092248,304.8453876,606.8453876,58.30630315,17.00176989,,,,,,,,,,,
13550,01011,01,189,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
13550,01013,01,229,20437,0,737.4423323,485.3554968,256.3554968,252.0868355,481.0868355,65.81606121,34.76278559,,,,,,,,,,,
14850,01015,01,1089,117253,0,3676.333333,1187.333333,98.33333333,2489,3578,32.29667241,2.674766525,,,,,,,,,,,
13600,01017,01,321,34077,0,1138.93854,647.4212548,326.4212548,491.5172855,812.5172855,56.84426612,28.66012899,,,,,,,,,,,
13600,01019,01,126,26116,0,470.6330119,301.3185857,175.3185857,169.3144262,295.3144262,64.02410756,37.25165496,,,,,,,,,,,
14700,01021,01,101,43846,0,1110.731896,631.3873951,530.3873951,479.3445014,580.3445014,56.84426612,47.7511627,,,,,,,,,,,
13550,01023,01,3,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
13550,01025,01,61,25347,0,753.0727969,467.0668691,406.0668691,286.0059279,347.0059279,62.02147667,53.92133015,,,,,,,,,,,
13550,01027,01,166,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
14400,01029,01,70,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
14650,01031,01,348,50906,0,1435.804924,685.4493371,337.4493371,750.3555871,1098.355587,47.73972603,23.50245019,,,,,,,,,,,
15000,01033,01,683,54450,0,1994.824611,825.4766494,142.4766494,1169.347961,1852.347961,41.38091364,7.142314598,,,,,,,,,,,
13550,01035,01,151,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
13550,01037,01,6,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
13550,01039,01,298,37932,0,907.6609848,433.3148674,135.3148674,474.3461174,772.3461174,47.73972603,14.90808459,,,,,,,,,,,
13550,01041,01,195,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
14500,01043,01,348,80566,0,2397.210056,936.5927554,588.5927554,1460.617301,1808.617301,39.07011624,24.55324071,,,,,,,,,,,
14400,01045,01,609,50106,0,1281.523503,688.1877288,79.18772881,593.3357739,1202.335774,53.70074972,6.17918662,,,,,,,,,,,
13550,01047,01,969,42618,0,3131.044311,1609.468451,640.4684509,1521.57586,2490.57586,51.40356671,20.45542597,,,,,,,,,,,
13550,01049,01,442,71137,0,1630.27437,993.7161482,551.7161482,636.5582222,1078.558222,60.95392078,33.84192,,,,,,,,,,,
16750,01051,01,121,80443,0,1350.664894,305.6261148,184.6261148,1045.038779,1166.038779,22.62782694,13.66927619,,,,,,,,,,,
13550,01053,01,212,38094,0,1839.785441,1141.062098,929.0620979,698.7233427,910.7233427,62.02147667,50.49839385,,,,,,,,,,,
14200,01055,01,1018,104188,0,2910.333333,1495,477,1415.333333,2433.333333,51.36868629,16.38987516,,,,,,,,,,,
13550,01057,01,176,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
13550,01059,01,354,31661,0,973.8341625,556.9510779,202.9510779,416.8830846,770.8830846,57.1915732,20.8404147,,,,,,,,,,,
14750,01061,01,226,26837,0,576.5340909,275.2357955,49.23579545,301.2982955,527.2982955,47.73972603,8.53996255,,,,,,,,,,,
15900,01063,01,170,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
15900,01065,01,113,,1,,,,,,,,2351,7924.988787,4678.077506,2327.077506,3246.911281,5597.911281,59.02945268,29.36379556,13550,16750,
