county,ELI_Cutoff,Housing gap,Total ELI renters,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),Number of HUD asst units,AAA units,AAA units (asst off)
1001,14350,329.0659034,778.3812726,405.0659034,57.72432933,47.96047674,76,449.3153692,373.3153692
1003,13000,821,1581,1188,48.07084124,24.85768501,367,760,393
1005,11150,290.2149595,912.4272619,585.2149595,68.19308545,35.8617411,295,622.2123024,327.2123024
1007,11150,180.4347826,466.3478261,238.4347826,61.30896886,48.87190006,58,285.9130435,227.9130435
1009,14950,198.6252004,744.8445014,430.6252004,73.33333333,42.18589255,232,546.2193011,314.2193011
1011,11150,132.4753554,416.498605,265.4753554,68.19308545,36.26020539,133,284.0232496,151.0232496
1013,11150,210.2115053,660.8987645,379.2115053,68.19308545,42.62184685,169,450.6872592,281.6872592
1015,11150,1445,2822,2112,48.79518072,25.15946138,667,1377,710
1017,11150,337.6494289,979.5780457,523.6494289,65.53113553,46.54336822,186,641.9286168,455.9286168
1019,11150,206.9079486,565.2571596,287.9079486,63.39578454,49.06602354,81,358.349211,277.349211
1021,11150,215.5463198,625.3362944,285.5463198,65.53113553,54.33715869,70,409.7899746,339.7899746
1023,11150,60.0040228,227.743882,60.0040228,73.65284974,73.65284974,,167.7398592,167.7398592
1025,11150,160.9198793,610.7676835,233.9198793,73.65284974,61.70067841,73,449.8478042,376.8478042
1027,11150,131.5441262,359.3687902,231.5441262,63.39578454,35.56921676,100,227.8246639,127.8246639
1029,11150,106.8796026,291.987142,159.8796026,63.39578454,45.24430033,53,185.1075395,132.1075395
1031,12600,457.4257426,1469.306931,729.4257426,68.86792453,50.35579515,272,1011.881188,739.8811881
1033,12400,728.5996684,1536.733235,1087.599668,52.58775878,29.22651482,359,808.1335667,449.1335667
1035,11150,115.2349983,437.3717734,248.2349983,73.65284974,43.24393721,133,322.1367751,189.1367751
1037,11150,41.79568528,121.2563452,41.79568528,65.53113553,65.53113553,,79.4606599,79.4606599
1039,11150,316.2772277,1015.920792,584.2772277,68.86792453,42.48791517,268,699.6435644,431.6435644
1041,11150,102.0286967,320.7752093,212.0286967,68.19308545,33.90115864,110,218.7465126,108.7465126
1043,11150,571.4819945,1523.951985,809.4819945,62.5,46.88271006,238,952.4699907,714.4699907
1045,11400,671.1123858,1324.826755,962.1123858,49.34338521,27.3782491,291,653.714369,362.714369
1047,11150,1145.65835,2961.043725,1876.65835,61.30896886,36.62172788,731,1815.385376,1084.385376
1049,11150,373.9284174,1304.83398,700.9284174,71.34283571,46.28217627,327,930.9055628,603.9055628
1051,14350,447.3239624,1058.112042,539.3239624,57.72432933,49.02959793,92,610.78808,518.78808
1053,11150,300.3610459,1140.013409,494.3610459,73.65284974,56.63550605,194,839.6523634,645.6523634
1055,11150,1448,2952,2179,50.94850949,26.18563686,731,1504,773
1057,11150,144.1617889,525.5800723,288.1617889,72.57091803,45.17261897,144,381.4182835,237.4182835
1059,11150,317.8020388,1158.6317,565.8020388,72.57091803,51.16635953,248,840.8296613,592.8296613
1061,11150,183.2970297,588.7722772,320.2970297,68.86792453,45.59916591,137,405.4752475,268.4752475
1063,11150,103.5449605,267.6200593,236.5449605,61.30896886,11.61164784,133,164.0750988,31.07509882
1065,11150,160.9560277,416.0034585,259.9560277,61.30896886,37.51108979,99,255.0474308,156.0474308
1067,11150,109.1545104,343.1785572,227.1545104,68.19308545,33.80865276,118,234.0240468,116.0240468
1069,11400,1411.887614,2787.173245,2122.887614,49.34338521,23.83366847,711,1375.285631,664.285631
1071,11150,390.0715826,1361.16602,630.0715826,71.34283571,53.71089394,240,971.0944372,731.0944372
